timestamp,block,agentId,reviewer,feedbackIndex,claimNetwork,onQueryableChain,claimTxHash,txExistsOnCelo,paymentVerified,paymentAttributed,partiesContradicted,amount,symbol,decimals,token,declaredFrom,declaredTo,transferFrom,transferTo,transferCount,note,partyNote,feedbackURI
"2026-06-14T10:35:37.000Z","69532579","9356","0xeB7274f753c016D16FDB227b4612f312Fefb3686","1","42220","true","0x49f22a499a38666034f8107617538bd7c9d2699e647226a846c5a90618fd09a8","true","false","false","false","","","","","0x4382B4468751E716aE8ed1e686792dBF2A746335","0xad3e2d50c2d1581D60A2b228001eDEE456637233","","","0","no stablecoin transfer in transaction","no settlement transfer to attribute","ipfs://QmWy8nFtJ87GEaosoedUuetwZ4CBB3KzdCaqqN9Nunaqoy"
"2026-07-19T15:42:39.000Z","72575001","2106","0x103040545AC5031A11E8C03dd11324C7333a13C7","1","celo","true","0xe8373658076200e166f0e6ec4734a941d4e9f1e08c65cf3240ace9fa60583141","true","true","false","true","87000","USDC","6","0xcebA9300f2b948710d2653dD7B07f33A8B32118C","","","0x70eccf56e2e332216658a238b145305661f697b7","0x52e05c8e45a32eee169639f6d2ca40f8887b5a15","2","","payer is not the reviewer; payee is not the agent owner; settlement touches neither the reviewer nor the agent owner","https://execution.market/feedback/63a16a50-f8f4-443b-80a5-615cf4b9baec/agent_rating_1784475756.json"
"2026-07-19T15:44:45.000Z","72575127","2106","0x103040545AC5031A11E8C03dd11324C7333a13C7","2","celo","true","0xae45354ca41b7c4fc976db18464d5e6a29e5aa7102cde09be099b3a9a3a9513b","true","true","false","true","100000","USDC","6","0xcebA9300f2b948710d2653dD7B07f33A8B32118C","","","0xd3868e1ed738ced6945a574a7c769433bed5d474","0x52e05c8e45a32eee169639f6d2ca40f8887b5a15","1","","payer is not the reviewer; payee is not the agent owner; settlement touches neither the reviewer nor the agent owner","https://execution.market/feedback/295027c1-ba2a-43fb-9ac7-9e6c5494713b/agent_rating_1784475882.json"
"2026-07-19T15:48:08.000Z","72575330","2106","0x103040545AC5031A11E8C03dd11324C7333a13C7","3","celo","true","0x4e6b9a68713cbcf8c19868a79fbe64ece86f78f1b159e3ffd3b17a42ae438510","true","true","false","true","100000","USDC","6","0xcebA9300f2b948710d2653dD7B07f33A8B32118C","","","0xd3868e1ed738ced6945a574a7c769433bed5d474","0x52e05c8e45a32eee169639f6d2ca40f8887b5a15","1","","payer is not the reviewer; payee is not the agent owner; settlement touches neither the reviewer nor the agent owner","https://execution.market/feedback/55981b54-51da-4cf9-a897-6253a18cfc47/agent_rating_1784476086.json"
"2026-07-19T15:49:38.000Z","72575420","2106","0x103040545AC5031A11E8C03dd11324C7333a13C7","4","celo","true","0x4eb1a2949cf90f276413675d1353b34fd044ec4895ff79c37e2d8b9f90fd8839","true","true","false","true","100000","USDC","6","0xcebA9300f2b948710d2653dD7B07f33A8B32118C","","","0xd3868e1ed738ced6945a574a7c769433bed5d474","0x52e05c8e45a32eee169639f6d2ca40f8887b5a15","1","","payer is not the reviewer; payee is not the agent owner; settlement touches neither the reviewer nor the agent owner","https://execution.market/feedback/9d32c3df-4d9e-48a7-856a-359a868c8144/agent_rating_1784476176.json"
"2026-07-19T15:52:26.000Z","72575588","2106","0x103040545AC5031A11E8C03dd11324C7333a13C7","5","celo","true","0x61d8e7cee6a74b01a7d3b63075a6265714dd615b0b223e265d8a4b9ba9efdf85","true","true","false","true","100000","USDC","6","0xcebA9300f2b948710d2653dD7B07f33A8B32118C","","","0xd3868e1ed738ced6945a574a7c769433bed5d474","0x52e05c8e45a32eee169639f6d2ca40f8887b5a15","1","","payer is not the reviewer; payee is not the agent owner; settlement touches neither the reviewer nor the agent owner","https://execution.market/feedback/84f8861d-95a3-4ca5-b5a0-a1000f4a11a8/agent_rating_1784476344.json"
"2026-07-19T15:52:59.000Z","72575621","2106","0x103040545AC5031A11E8C03dd11324C7333a13C7","6","celo","true","0xd82dd74df7f0b4075a73dabc3426ebb59b330eed34c9845666d2c36f91b31918","true","true","false","true","100000","USDC","6","0xcebA9300f2b948710d2653dD7B07f33A8B32118C","","","0xd3868e1ed738ced6945a574a7c769433bed5d474","0x52e05c8e45a32eee169639f6d2ca40f8887b5a15","1","","payer is not the reviewer; payee is not the agent owner; settlement touches neither the reviewer nor the agent owner","https://execution.market/feedback/6253b4e3-ede6-4d59-9cb5-1ecd36268a8a/agent_rating_1784476376.json"
"2026-08-09T18:19:43.000Z","74398825","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","1","celo","true","0x25a9646de99b92bcd73c2cbaf936a2ea26bacc58833c65078a86e7b8e7c72d50","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/c0bd1c74-468a-4ef4-99f2-4068f79e9d28/agent_rating_1786299581.json"
"2026-08-09T18:30:18.000Z","74399460","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","2","celo","true","0x76d640614454de15e1afa7a286df56aeadeb28c1535986bdd75b211e6f432063","false","false","false","false","","","","","","0x3aebb73a33377f0d6fc2195f83559635adee8408","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/4769b85c-279e-4c86-8885-a69c83652c23/worker_rating_1786300215.json"
"2026-08-09T18:32:20.000Z","74399582","9734","0x103040545AC5031A11E8C03dd11324C7333a13C7","1","celo","true","0x76d640614454de15e1afa7a286df56aeadeb28c1535986bdd75b211e6f432063","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/4769b85c-279e-4c86-8885-a69c83652c23/agent_rating_1786300338.json"
"2026-08-09T18:45:24.000Z","74400366","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","3","celo","true","0x3a235c1c0e708a3ea5350aa05279239005209f4bb9fafea1d66a1b30375d1e66","false","false","false","false","","","","","","0x3aebb73a33377f0d6fc2195f83559635adee8408","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/189eb584-c92e-4058-a1c1-fec44b09e09f/worker_rating_1786301121.json"
"2026-08-09T18:47:26.000Z","74400488","9734","0x103040545AC5031A11E8C03dd11324C7333a13C7","2","celo","true","0x3a235c1c0e708a3ea5350aa05279239005209f4bb9fafea1d66a1b30375d1e66","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/189eb584-c92e-4058-a1c1-fec44b09e09f/agent_rating_1786301244.json"
"2026-08-09T18:59:45.000Z","74401227","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","4","celo","true","0x6f7b1e7136a24ceaaa8e289b8285c0e47e4e170bb667707276f4087b7b2e3a86","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/001c5b49-2c9d-487d-aa69-fbca52fc180e/agent_rating_1786301983.json"
"2026-08-09T18:59:56.000Z","74401238","9742","0x103040545AC5031A11E8C03dd11324C7333a13C7","1","celo","true","0x48c06ed9c83d54345b8bab7637444f3189a12febf8e78e7ccb8d8311f64bc29f","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/4e7837e8-22b7-493e-8321-9897e0baa2d6/agent_rating_1786301994.json"
"2026-08-09T19:00:39.000Z","74401281","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","5","celo","true","0x6004e1bd68109bd03e36d7e58a491f0e37ff3a936347f20674562a53ad3c1cc7","false","false","false","false","","","","","","0x3aebb73a33377f0d6fc2195f83559635adee8408","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/5644b36f-17d4-4725-a52e-cfd8c8e1bde2/worker_rating_1786302036.json"
"2026-08-09T19:09:55.000Z","74401837","9742","0x103040545AC5031A11E8C03dd11324C7333a13C7","2","celo","true","0xa35785a511717236fd58ef657f273fd763112a6663437cee1d7647c214f33d24","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/332ecce4-14ee-4df6-9cfa-353701efb91a/agent_rating_1786302593.json"
"2026-08-10T17:09:53.000Z","74481035","9742","0x103040545AC5031A11E8C03dd11324C7333a13C7","3","celo","true","0x83ce4b9e7dd29cd48ea27305e43eb5f7de57ce9d3323069de42feaad95ad980b","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/3d0c6635-7c78-4042-8961-531836839ab9/agent_rating_1786381791.json"
"2026-08-10T17:35:13.000Z","74482555","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","6","celo","true","0xad622f03aa37fb3d7a1fb48111207b4ff7c62ac21ab048fc5d554c3c399aaba2","false","false","false","false","","","","","","0x3aebb73a33377f0d6fc2195f83559635adee8408","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/e2e54a5f-995c-406a-9241-7b2e225a124f/worker_rating_1786383311.json"
"2026-08-10T17:35:14.000Z","74482556","9733","0x103040545AC5031A11E8C03dd11324C7333a13C7","7","celo","true","0xc7a377942de6b285d3458e4e02c1c20918b65742df71d2b4e922d1f475debd2a","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/6f663d1e-7239-4b16-ae12-37f629a06da1/agent_rating_1786383312.json"
"2026-08-19T22:03:18.000Z","75276240","9734","0x103040545AC5031A11E8C03dd11324C7333a13C7","3","celo","true","0x525d8245e80b2e491cb49cf6c2641ba0e539411337dfdcfed73dc4879f368526","false","false","false","false","","","","","","","","","0","transaction not found on chain","no settlement transfer to attribute","https://execution.market/feedback/fabdcc30-f442-4a0e-8e6f-952a26e871ff/agent_rating_1787176996.json"
